time,field.x,field.y,field.z
1460464705231813907,386.0,174.0,0.551757156849
1460464705290385007,395.0,172.0,0.553404331207
1460464705350220918,409.0,171.0,0.555857360363
1460464705409986972,420.0,171.0,0.540736019611
1460464705470391988,438.0,174.0,0.50385671854
1460464705532741069,452.0,177.0,0.51699668169
1460464705593452930,471.0,183.0,0.504146635532
1460464705647265911,485.0,187.0,0.501305222511
1460464705706943988,504.0,193.0,0.498379915953
1460464705766763925,520.0,197.0,0.498664736748
1460464705823812007,540.0,202.0,0.503206372261
1460464705881738901,555.0,206.0,0.518777668476
1460464705939975023,574.0,211.0,0.518446266651
1460464705994540929,587.0,213.0,0.542077839375
1460464706048732042,603.0,216.0,0.544090628624
1460464706103749990,614.0,217.0,0.537993431091
1460464706158633947,628.0,220.0,0.537440240383
1460464706214276075,636.0,221.0,0.562026977539
1460464706276513099,646.0,224.0,0.554269075394
1460464706369560003,653.0,225.0,0.557195901871
1460464706436525106,658.0,227.0,0.550093829632
1460464706490875959,666.0,230.0,0.557755291462
1460464706544509887,672.0,233.0,0.558216750622
1460464706598175048,678.0,236.0,0.557152271271
1460464706650851011,684.0,239.0,0.549173593521
1460464706703536033,692.0,244.0,0.565698325634
1460464706756469011,698.0,249.0,0.562015593052
1460464706815262079,706.0,254.0,0.549784779549
1460464706878452062,713.0,257.0,0.557981908321
1460464706945352077,725.0,258.0,0.531738817692
1460464707016544103,734.0,257.0,0.55739235878
1460464707076302051,748.0,256.0,0.558052539825
1460464707132880926,758.0,256.0,0.530161261559
1460464707187453985,774.0,256.0,0.548072576523
1460464707244318962,787.0,257.0,0.533465087414
1460464707306612968,805.0,260.0,0.542240798473
1460464707362490892,818.0,262.0,0.539291381836
1460464707422375917,836.0,267.0,0.541041731834
1460464707495923042,851.0,270.0,0.517439723015
1460464707568698883,867.0,274.0,0.495026260614
1460464707645032882,889.0,280.0,0.507581472397
1460464707707958936,906.0,285.0,0.504380643368
1460464707772407054,921.0,289.0,0.535437405109
1460464707853643894,940.0,293.0,0.538634717464
1460464707912630081,953.0,296.0,0.535972833633
1460464707968020915,966.0,299.0,0.546571314335
1460464708026313066,984.0,304.0,0.533438801765
1460464708094746112,997.0,307.0,0.530507266521
1460464708150155067,1010.0,312.0,0.53883343935
1460464708205931901,1026.0,318.0,0.550378441811
1460464708266083002,1037.0,321.0,0.54434221983
1460464708319154977,1052.0,323.0,0.545384168625
1460464708371839046,1062.0,322.0,0.558054149151
1460464708429735898,1071.0,319.0,0.572887480259
1460464708508692026,1082.0,316.0,0.557543575764
1460464708602596044,1091.0,313.0,0.563082993031
1460464708672518968,1102.0,312.0,0.542556285858
1460464708724935054,1118.0,310.0,0.555510640144
1460464708777528047,1131.0,309.0,0.56185489893
1460464708831163883,1144.0,309.0,0.551564514637
1460464708884936094,1160.0,308.0,0.534678339958
